image_id,file_type,file_size,resolution_width,resolution_height,collection_date,collection_state
IMG_00290,jpg,2.1169,4000,2256,06-02-2026,Delhi
IMG_00291,jpg,2.0594,4000,2256,06-02-2026,Delhi
IMG_00292,jpg,2.1142,4000,2256,07-02-2026,Delhi
IMG_00293,jpg,0.9869,4000,2256,07-02-2026,Delhi
IMG_00294,jpg,1.8248,4000,2256,07-02-2026,Delhi
IMG_00295,jpg,1.9373,4000,2256,07-02-2026,Delhi
IMG_00296,jpg,2.1208,4000,2256,07-02-2026,Delhi
IMG_00297,jpg,2.3573,4000,2256,07-02-2026,Delhi
IMG_00298,jpg,2.4779,4000,2256,07-02-2026,Delhi
IMG_00299,jpg,2.1586,4000,2256,07-02-2026,Delhi
IMG_00300,jpg,2.1403,4000,2256,08-02-2026,Delhi
IMG_00301,jpg,1.8266,4000,2256,08-02-2026,Delhi
IMG_00302,jpg,1.1607,4000,2256,08-02-2026,Delhi
IMG_00303,jpg,1.3511,4000,2256,08-02-2026,Delhi
IMG_00304,jpg,1.9863,4000,2256,08-02-2026,Delhi
IMG_00305,jpg,1.782,4000,2256,08-02-2026,Delhi
IMG_00306,jpg,1.9461,4000,2256,08-02-2026,Delhi
IMG_00307,jpg,1.7403,4000,2256,08-02-2026,Delhi
IMG_00308,jpg,1.6627,4000,2256,08-02-2026,Delhi
IMG_00309,jpg,2.125,4000,2256,08-02-2026,Delhi
IMG_00310,jpg,1.5935,4000,2256,08-02-2026,Delhi
IMG_00311,jpg,0.9757,4000,2256,08-02-2026,Delhi
IMG_00312,jpg,1.5891,4000,2256,08-02-2026,Delhi
IMG_00313,jpg,0.9725,4000,2256,08-02-2026,Delhi
IMG_00314,jpg,1.325,4000,2256,08-02-2026,Delhi
IMG_00315,jpg,0.4458,4000,2256,09-02-2026,Delhi
IMG_00316,jpg,1.4471,4000,2256,09-02-2026,Delhi
IMG_00317,jpg,0.9665,4000,2256,09-02-2026,Delhi
IMG_00318,jpg,1.1219,4000,2256,09-02-2026,Delhi
IMG_00319,jpg,1.7142,4000,2256,09-02-2026,Delhi
IMG_00320,jpg,1.5452,4000,2256,09-02-2026,Delhi
IMG_00321,jpg,1.2811,4000,2256,09-02-2026,Delhi
IMG_00322,jpg,0.5946,4000,2256,09-02-2026,Delhi
IMG_00323,jpg,0.558,4000,2256,09-02-2026,Delhi
IMG_00324,jpg,2.9741,4624,3468,09-02-2026,Delhi
IMG_00325,jpg,1.3015,4624,2080,09-02-2026,Delhi
IMG_00326,jpg,1.2162,4624,2080,09-02-2026,Delhi
IMG_00327,jpg,1.8092,4624,2080,09-02-2026,Delhi
IMG_00328,jpg,1.165,4624,2080,10-02-2026,Delhi
IMG_00329,jpg,1.1984,4624,2080,10-02-2026,Delhi
IMG_00330,jpg,1.0035,4624,2080,10-02-2026,Delhi
IMG_00331,jpg,1.4857,4624,2080,10-02-2026,Delhi
IMG_00332,jpg,1.3228,4624,2080,10-02-2026,Delhi
IMG_00333,jpg,1.6787,4624,2080,10-02-2026,Delhi
IMG_00334,jpg,1.2749,4624,2080,10-02-2026,Delhi
IMG_00335,jpg,1.3083,4624,2080,10-02-2026,Delhi
IMG_00336,jpg,1.2496,4624,2080,10-02-2026,Delhi
IMG_00337,jpg,1.1776,4624,2080,10-02-2026,Delhi
IMG_00338,jpg,1.2591,4624,2080,10-02-2026,Delhi
IMG_00339,jpg,1.4094,4624,2080,10-02-2026,Delhi
IMG_00340,jpg,1.2647,4624,2080,10-02-2026,Delhi
IMG_00341,jpg,1.6616,4624,2080,10-02-2026,Delhi
IMG_00342,jpg,1.583,4624,2080,11-02-2026,Delhi
IMG_00343,jpg,1.3711,4624,2080,11-02-2026,Delhi
IMG_00344,jpg,1.4597,4624,2080,11-02-2026,Delhi
IMG_00345,jpg,1.1739,4624,2080,11-02-2026,Delhi
IMG_00346,jpg,1.3223,4624,2080,11-02-2026,Delhi
IMG_00347,jpg,1.2686,4624,2080,11-02-2026,Delhi
IMG_00348,jpg,1.3141,4624,2080,11-02-2026,Delhi
IMG_00349,jpg,1.2814,4624,2080,11-02-2026,Delhi
IMG_00350,jpg,1.5434,4624,2080,11-02-2026,Delhi
IMG_00351,jpg,1.5693,4624,2080,12-02-2026,Delhi
IMG_00352,jpg,0.6903,4624,2080,12-02-2026,Delhi
IMG_00353,jpg,1.3367,4624,2080,12-02-2026,Delhi
IMG_00354,jpg,1.1769,4624,2080,12-02-2026,Delhi
IMG_00355,jpg,1.4802,4624,2080,12-02-2026,Delhi
IMG_00356,jpg,1.189,4624,2080,12-02-2026,Delhi
IMG_00357,jpg,1.2759,4624,2080,12-02-2026,Delhi
IMG_00358,jpg,1.3269,4624,2080,12-02-2026,Delhi
IMG_00359,jpg,1.2217,4624,2080,12-02-2026,Delhi
IMG_00360,jpg,0.9288,4624,2080,12-02-2026,Delhi
IMG_00361,jpg,1.1579,4624,2080,12-02-2026,Delhi
IMG_00362,jpg,1.1002,4624,2080,12-02-2026,Delhi
IMG_00363,jpg,1.0213,4624,2080,12-02-2026,Delhi
IMG_00364,jpg,1.2108,4624,2080,12-02-2026,Delhi
IMG_00365,jpg,0.6913,4624,2080,12-02-2026,Delhi
IMG_00366,jpg,1.0563,4624,2080,12-02-2026,Delhi
IMG_00367,jpg,1.2012,4624,2080,12-02-2026,Delhi
IMG_00368,jpg,1.4028,4624,2080,12-02-2026,Delhi
IMG_00369,jpg,1.3632,4624,2080,12-02-2026,Delhi
IMG_00370,jpg,1.5928,4624,2080,12-02-2026,Delhi
IMG_00371,jpg,1.5742,4624,2080,13-02-2026,Delhi
IMG_00372,jpg,1.5593,4624,2080,13-02-2026,Delhi
IMG_00373,jpg,1.1214,4624,2080,13-02-2026,Delhi
IMG_00374,jpg,0.9991,4624,2080,13-02-2026,Delhi
IMG_00375,jpg,1.2156,4624,2080,13-02-2026,Delhi
IMG_00376,jpg,0.8614,4624,2080,13-02-2026,Delhi
IMG_00377,jpg,1.249,4624,2080,13-02-2026,Delhi
IMG_00378,jpg,1.072,4624,2080,13-02-2026,Delhi
IMG_00379,jpg,1.3134,4624,2080,13-02-2026,Delhi
IMG_00380,jpg,1.1491,4624,2080,14-02-2026,Delhi
IMG_00381,jpg,1.159,4624,2080,14-02-2026,Delhi
IMG_00382,jpg,1.2415,4624,2080,14-02-2026,Delhi
IMG_00383,jpg,1.6719,4624,2080,14-02-2026,Delhi
IMG_00384,jpg,0.9633,4624,2080,14-02-2026,Delhi
IMG_00385,jpg,1.1956,4624,2080,14-02-2026,Delhi
IMG_00386,jpg,1.033,4624,2080,14-02-2026,Delhi
IMG_00387,jpg,1.0597,4624,2080,14-02-2026,Delhi
IMG_00388,jpg,1.1906,4624,2080,14-02-2026,Delhi
IMG_00389,jpg,1.1613,4624,2080,14-02-2026,Delhi
IMG_00390,jpg,1.0616,4624,2080,14-02-2026,Delhi
IMG_00391,jpg,1.1594,4624,2080,14-02-2026,Delhi
IMG_00392,jpg,1.2843,4624,2080,14-02-2026,Delhi
IMG_00393,jpg,1.3935,4624,2080,14-02-2026,Delhi
IMG_00394,jpg,1.1906,4624,2080,15-02-2026,Delhi
IMG_00395,jpg,1.1088,4624,2080,15-02-2026,Delhi
IMG_00396,jpg,1.2016,4624,2080,15-02-2026,Delhi
IMG_00397,jpg,1.2958,4624,2080,15-02-2026,Delhi
IMG_00398,jpg,1.256,4624,2080,15-02-2026,Delhi
IMG_00399,jpg,1.5311,4624,2080,15-02-2026,Delhi
IMG_00400,jpg,1.6225,4624,2080,15-02-2026,Delhi
IMG_00401,jpg,1.22,4624,2080,15-02-2026,Delhi
IMG_00402,jpg,1.0828,4624,2080,15-02-2026,Delhi
IMG_00403,jpg,1.3045,4624,2080,15-02-2026,Delhi
IMG_00404,jpg,1.2512,4624,2080,15-02-2026,Delhi
IMG_00405,jpg,1.585,4624,2080,15-02-2026,Delhi
